,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
33246,6971825983137565953,2021-06-09 16:05:34,19.7862898495,27,맛 Hot Sauce,34100,2736,320,2,3662,4,5811.0,748.5,1638.0
33278,6976064522888973569,2021-06-21 02:13:18,323.618146088,19,,3900000,218500,568,4,10700,8,81700.0,3256.0,697.0
33353,6976465053155429633,2021-06-22 04:07:32,322.5387564931,8,Missing My Love,3900000,218500,589,6,9439,4,2641.0,305.0,119.0
33421,6969096326340496641,2021-06-02 07:33:06,52.2396804977,19,Next Level,133300,4540,40400,169,314000,310,38800.0,4503.5,6.96202403504351e+180
33498,6989253592276372763,2021-07-26 15:13:35,284.2044249537,39,FEVER,2400000,190500,2913,24,30900,88,8017.5,762.0,1044.0
33607,6970762165053639941,2021-06-06 19:17:25,374.5182742014,38,Butter,38800,1880,142,10,694,16,2897.0,328.5,1358.0
33683,6966657651296046342,2021-05-26 17:49:48,352.3336856481,9,,1400000,117900,465,2,4295,7,6044.5,469.5,804.0
33904,6975091864278027522,2021-06-18 11:18:51,329.9098156019,29,Into The Thick Of It!,12900,2114,13,0,110,0,5011.0,423.0,734.0
34016,6975725073751657733,2021-06-20 04:16:05,324.4616470602,15,,761700,61600,330,0,2128,13,3702.5,338.5,691.0
34228,6986647040646237446,2021-07-19 14:38:52,293.7083604282,14,His & Hers,8300000,111800,3211,10,26000,27,8545.0,606.0,102.0
34302,6981512508691467525,2021-07-05 18:34:14,312.9518983912,7,Beggin',902400000,26000000,3100000,140100,45200000,38200,9699.0,657.0,831.0
34366,6976780767888149765,2021-06-23 00:32:41,333.7245175579,19,,3500000,168600,11600,73,101200,69,8819.0,969.0,172.0
34423,6975299086882704645,2021-06-19 00:43:00,302.3464704398,59,Alcohol-Free,74400,6240,190,6,1113,16,7291.0,488.0,760.0
34526,6977404244156534021,2021-06-24 16:52:04,298.7599886343,15,,19500000,1100000,38900,430,469000,585,51600.0,4274.0,513.0
34603,6985908599784623366,2021-07-17 14:53:21,297.8655449653,10,Alors on danse - Slowed,38300,19100,20,0,676,1,8475.0,616.0,62.0
