,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
5344,2020-03-01 06:16:34,7.763.378.469.444,15,,19500,1765,258,1,430,0,458.0,188.0,805.0,6799119596654824705,4,4,3,4,3,0,,,,3,2,3,3,3,1,minimal repetition,8,7,3,5,6,4
5450,2020-03-03 08:28:13,4.380.902.877.662,26,,720400,65500,3535,500,66700,265,1455.5,97.0,488.0,6799895691071130881,4,5,5,5,4,1,,,,2,3,5,4,2,1,minimal repetition,9,10,5,8,9,3
5518,2020-02-05 22:13:17,8.018.356.070.255,10,,5100000,408400,2299,46,34800,63,22.0,5.5,437.0,6790089007461174534,2,1,3,2,1,1,,,,1,2,2,2,3,0,,3,5,2,4,4,3
5529,2020-04-01 19:10:27,7.687.866.079.514,14,,33000,3482,236,7,2883,25,30900.0,2097.0,1055.0,6810822666262547718,4,3,5,4,3,1,,,,3,3,5,5,2,0,,7,9,4,8,10,2
5554,2020-04-19 17:43:06,7.831.369.620.139,10,Why Is Everything Chrome (Lean Swag Rock Wit It),10800,711,25,0,1076,4,987.0,52.0,722.0,6817479688907246853,2,2,3,2,1,1,,,,2,2,3,2,1,0,,4,5,2,5,5,1
5563,2020-07-08 08:18:41,7.080.413.277.199,15,Señorita,336800,33600,2929,23,44400,51,622.5,52.5,1329.01,6847021049528225030,3,4,4,4,3,1,,,,1,2,2,1,1,1,a bit unclear,7,8,4,4,3,2
5574,2020-02-17 11:42:03,4.529.564.727.662,11,,17000000,599400,7738,27,61400,23,93400.0,7191.5,48.0,6794379361874234625,1,2,2,2,1,1,,,,2,1,2,2,1,0,,3,4,2,3,4,1
5655,2020-05-16 16:12:10,7.279.197.883.565,15,Woah (feat. D3Mstreet),1300000,233600,2280,7,18800,63,14900.0,975.0,73.0,6827475549904997634,4,3,2,1,2,1,,,,3,1,1,1,4,1,,7,3,3,2,2,5
5687,2020-04-09 08:50:17,3.549.223.929.977,15,,3000000,127100,8409,8,31700,97,25800.0,2018.0,1311.0,6813631527256132866,1,1,2,1,1,1,,,,1,3,2,1,1,1,more people in background,2,3,2,5,3,2
5699,2020-05-24 19:31:51,7.160.150.918.981,12,Blinding Lights,25000,3428,127,0,2275,0,12850.0,1168.0,423.0,6830495700967492869,3,4,3,4,3,1,,,,3,2,2,2,3,1,,7,7,4,4,4,4
5731,2020-04-01 21:47:42,7.445.778.114.815,15,Vibe (If I Back It Up),10800,836,27,0,111,0,989.0,49.5,294.0,6810863188125420805,3,2,3,2,2,1,skeleton not recognised correctly,,,2,2,2,2,2,1,,5,5,3,4,4,3
5753,2020-05-04 17:45:22,7.148.052.839.468,13,,38000,1740,105,0,647,0,1368.0,419.0,1636.0,6823046535069060353,1,1,1,2,1,1,,,,2,2,3,2,1,1,minimal repetition,2,3,2,5,5,2
5759,2020-03-05 11:58:35,7.718.506.609.028,14,,10200,819,7,0,42,2,73.0,11.5,100.0,6800692073277230337,2,2,3,2,2,1,,,,3,1,2,2,3,1,,4,5,3,3,4,4
5787,2020-02-19 18:15:58,7.858.375.539.352,48,Hit Yo Groove,1113,213,263,9,4534,5,123.5,13.0,101.0,6795223048787201285,,,,,,,couldn't find,1,,,,,,,,doesn't work,0,0,0,0,0,0
5971,2020-03-24 03:58:48,8.141.384.307.407,7,,57000,13800,89,0,870,2,152200.0,18000.0,210.0,6807619053474024705,3,4,3,2,2,1,,,,2,2,2,1,1,0,,7,5,3,4,3,1
6005,2020-02-20 13:38:56,7.852.579.943.981,10,,28100,554,41,0,329,1,234.0,27.0,1095.0,6795522743216508165,3,3,2,3,2,1,,,,1,1,1,1,4,0,,6,5,3,2,2,4
6022,2020-02-19 03:48:08,8.273.827.021.644,14,Goa Beach,21400,1679,133,2,638,1,1401.5,191.5,1388.0,6794999399853362433,2,3,3,3,2,1,,,,2,3,2,3,2,1,more people in background,5,6,3,5,5,3
6071,2020-04-29 06:59:45,7.457.054.216.204,9,Bass Da Da Da,5200000,252400,2347,5,58900,24,91400.0,5937.0,623.0,6821024749154536706,3,3,2,2,1,1,,,,1,3,2,2,3,1,,6,4,2,5,4,4
6114,2020-06-16 12:11:19,697.075.275.787,18,Forever Young,1600000,281300,5763,992,124400,110,127400.0,11400.0,1359.01,6838917128951778561,2,4,4,3,2,1,,,,1,2,2,2,1,1,,6,7,3,4,4,2
