,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
8566,2020-10-01 03:01:30,24.117.614.583,15,,3100000,406300,1159,9,6599,88,836.5,223.5,1666.0,6878481552334982144,2,2,3,2,1,1,,,,3,4,3,2,3,1,,4,5,2,7,5,4
8577,2020-04-07 01:55:16,3.572.118.525.231,11,,56200,5303,176,0,1517,11,1380.5,174.5,1458.0,6812782414444678406,4,4,3,4,3,1,more than 1,,,2,3,3,2,1,1,,8,7,4,6,5,2
8589,2020-05-14 00:46:56,3.642.515.945.718,15,,1300000,107300,200,4,6590,2,20000.0,1937.0,305.0,6826494930756635905,2,2,2,2,1,1,more than 1,,,2,2,2,1,1,1,,4,4,2,4,3,2
8604,2020-06-09 22:21:15,3.797.642.452.315,10,16 Shots,1000000,147200,368,1,3649,4,6246.0,590.0,611.01,6836476711782092038,4,5,5,5,3,0,,,,2,3,4,3,2,1,,9,10,3,7,7,3
8614,2020-03-21 14:24:04,8.145.484.648.032,15,BORED IN THE HOUSE,113200000,9700000,566000,2999,4500000,3962,615350.0,87900.0,118.0,6806666929516956933,5,3,1,1,5,1,,,,1,1,2,1,1,1,,8,2,6,3,3,2
8651,2020-04-02 02:25:10,7.712.907.496.181,15,,203200,48300,2702,39,19000,35,102.5,15.5,79.0,6810934684827143430,4,4,2,2,4,1,,,,2,3,3,2,2,1,,8,4,5,6,5,3
8697,2020-04-02 04:44:25,7.776.677.785.301,10,,792000,173500,9237,357,187000,56,44300.0,9237.0,519.0,6810970565487234310,3,4,2,2,3,0,,,,1,2,2,1,1,1,,7,4,3,4,3,2
8725,2020-04-14 17:31:25,4.679.360.593.981,11,,34700000,2700000,195700,2938,2100000,2151,65250.0,4677.0,335.0,6815621258215001350,5,4,1,1,5,1,,,,1,2,2,1,1,1,,9,2,6,4,3,2
8869,2020-05-22 11:10:30,4.328.863.464.815,15,,576600,27100,626,6,5771,7,28700.0,2196.0,38.0,6829624320336219398,4,5,5,5,3,0,,,,2,3,4,4,3,1,,9,10,3,7,8,4
8894,2020-04-26 12:26:02,4.379.592.347.801,14,Level Up,52800,3057,25,0,66,1,14360.0,888.5,262.01,6819995572506823942,5,3,2,4,4,1,,,,3,3,4,3,3,1,,8,6,5,7,7,4
8912,2020-04-25 18:19:09,4.556.372.981.829,14,,202,19,7,1,179,1,2211.5,149.5,37.0,6819715494132714757,4,5,5,5,2,0,,,,2,2,4,3,3,1,,9,10,2,6,7,4
8958,2020-03-27 09:48:59,8.581.925.316.667,17,,256300000,2800000,26800,48,82000,318,327100.0,42600.0,226.0,6808822541554175237,3,4,4,3,3,0,,,,4,4,3,4,3,1,,7,7,3,7,7,4
9024,2020-03-24 04:32:26,2.014.119.130.556,21,,3640,1540,31,0,42,0,67.5,31.5,856.0,6807627706285460737,4,2,1,1,3,1,more than 1,,,1,3,3,2,3,1,,6,2,4,6,5,4
9029,2020-03-25 18:23:16,3.695.270.578.241,28,,1400000,70900,4336,59,25400,31,11689.5,2045.5,1763.0,6808212914130914566,5,5,5,5,3,0,,,,3,4,5,5,4,1,,10,10,3,9,10,5
9046,2020-04-05 11:36:32,4.500.577.425.579,8,Come Around Me,2383,709,32,0,155,0,1582.5,171.0,811.0,6812190027712449798,2,2,3,1,1,1,,,,2,2,3,3,2,1,,4,4,2,5,6,3
9070,2020-04-28 21:59:29,7.827.233.307.986,15,Magic In The Hamptons,156300,15000,260,0,2065,6,23000.0,2322.5,387.0,6820885523293310213,3,4,3,3,2,0,more than 1,,,3,3,3,4,3,1,,7,6,2,6,7,4
9084,2020-04-03 08:20:08,4.772.078.771.412,14,Hit It,3129,345,12,0,674,0,651.5,71.0,495.0,6811397250611203329,3,3,2,1,3,1,more than 1,,,4,3,4,3,3,1,,6,3,4,7,7,4
9102,2020-04-10 19:34:15,1.824.624.189.815,15,Captain Hook,15200000,1800000,225700,2598,1900000,1438,158050.0,15220.0,718.0,6814168568557636608,2,3,4,2,2,1,,,,3,4,4,3,3,1,,5,6,3,8,7,4
9123,2020-05-25 03:29:26,719.481.415.625,15,,447000,26800,1405,2,50600,19,745.0,43.0,39.0,6830618758193663238,4,4,2,2,3,1,more than 1,,,4,3,2,2,3,1,more than 1 person,8,4,4,5,4,4
9129,2020-05-05 16:54:15,7.462.177.819.907,14,,471400,25000,67,0,1147,0,1130.0,83.0,1129.0,6823404455002737922,2,1,1,1,1,1,,,,2,2,3,2,2,1,,3,2,2,5,5,3
9133,2020-04-06 15:36:47,7.618.456.942.245,14,,165600,26700,300,0,1572,4,3077.0,858.0,1328.01,6812623023049346306,2,2,2,1,2,1,,,,2,1,4,2,2,1,,4,3,3,5,6,3
9140,2020-04-16 00:37:14,4.654.784.195.949,14,,355100,73200,1580,18,32400,42,782.0,33.0,655.0,6816102067061460230,3,4,3,1,4,1,,,,2,2,1,1,2,1,,7,4,5,3,2,3
9196,2020-04-23 14:15:06,4.612.199.984.144,15,,6500000,262200,7974,117,99700,62,15400.0,1194.5,261.0,6818910433416645893,3,3,1,3,3,1,,,,3,2,4,3,3,1,,6,4,4,6,7,4
9228,2020-04-13 19:47:58,4.505.318.253.588,34,,921,231,24,0,300,0,1566.0,91.0,239.0,6815285355965713669,3,3,4,2,1,1,,,,2,2,3,3,2,1,,6,6,2,5,6,3
9244,2020-04-14 11:00:19,7.329.239.711.227,15,,2700000,61800,139,0,1903,1,577.5,59.5,905.0,6815520466086743298,3,3,3,2,2,1,more than 1,,,3,4,3,4,3,1,,6,5,3,7,7,4
9269,2020-05-20 14:14:24,6.964.148.507.292,14,,237,62,9,0,88,0,105.0,13.0,545.0,6828929540493053190,1,1,1,1,3,1,,,,2,2,2,1,2,1,,2,2,4,4,3,3
9274,2020-04-03 21:45:33,18.884.678.357.640.000,13,Toosie Slide,4200000,260700,7207,269,54300,34,52800.0,6948.5,374.0,6811604801927859200,3,4,2,2,5,0,more than 1,,,1,2,2,2,4,1,,7,4,5,4,4,5
9371,2020-04-30 01:01:36,7.450.413.598.495,15,,321300,18400,462,4,3772,29,174086.0,16747.0,837.0,6821303547531955462,5,5,5,5,4,0,more than 1,,,1,1,3,2,2,1,,10,10,4,4,5,3
9373,2020-04-05 21:04:07,2.044.936.895.602,9,,19800000,1500000,458200,1349,3200000,4387,394500.0,18300.0,1361.0,6812336297596767494,2,1,2,1,1,0,,,,2,2,2,3,1,0,,3,3,1,4,5,1
9391,2020-05-05 07:59:42,7.741.556.983.912,15,,84300,37400,587,3,1949,6,760.0,55.0,532.0,6823266695528910085,3,4,4,2,2,0,,,,2,4,3,2,2,1,,7,6,2,7,5,3
9399,2020-05-04 18:10:44,3.735.277.073.032,11,,622,91,45,1,1689,0,4076.0,258.0,187.0,6823053088555863302,4,5,2,4,4,1,,,,2,2,3,2,3,1,,9,6,5,5,5,4
9406,2020-04-07 08:33:00,7.725.089.933.218,9,,792000,173500,8171,296,177700,138,9910.0,312.0,1221.0,6812884897443663110,3,2,3,2,1,0,,,,2,4,4,3,3,1,,5,5,1,8,7,4
9552,2020-04-19 23:30:04,4.633.448.460.648,14,,3500000,99900,129,6,1481,3,1349.0,110.0,26.0,6817569104900148485,5,5,3,5,5,0,more than 1,1,,,,,,,,not a dance,10,8,5,0,0,0
9826,2020-10-03 09:29:01,5.869.021.294.676,15,Jerusalema (feat. Nomcebo Zikode) [Edit],1600000,127300,11200,487,215000,356,46600.0,2104.0,500.0,6879323591586893057,2,2,2,1,1,1,more than 1,,,2,2,3,2,1,1,,4,3,2,5,5,2
9842,2020-04-07 14:03:49,7.770.091.294.329,14,"Cham Cham (From ""Baaghi"" )",61200,5212,80,0,503,1,18800.0,2124.0,944.01,6812970151441435905,3,4,3,4,2,0,,,,1,1,2,1,1,1,,7,7,2,3,3,2
9860,2020-04-07 21:18:01,7.949.384.412.384,15,,6236,1637,24,0,543,2,3183.0,127.0,539.0,6813082053664427269,3,4,4,2,2,0,,,,3,3,2,2,2,1,,7,6,2,5,4,3
9909,2020-05-11 11:53:33,8.134.152.426.273,8,,219800000,1700000,235600,235,1000000,1025,820150.0,137650.0,645.0,6825553487863041286,4,3,1,1,3,1,,,,3,2,2,3,3,1,,7,2,4,4,5,4
9946,2020-04-22 18:44:34,4.279.147.197.685,10,,1000000,147200,1142,8,13600,14,27100.0,1796.0,408.0,6818608785892838661,3,3,4,3,2,0,,,,4,2,3,4,3,1,,6,7,2,5,7,4
9955,2020-06-11 07:28:59,1.193.233.840.046,12,,765,58,15,0,102,0,136.0,22.0,1248.01,6836988944865872896,1,1,2,1,1,0,,,,2,3,2,2,2,1,,2,3,1,5,4,3
9965,2020-04-22 18:58:44,4.587.134.890.394,8,Let's Do It Again,13400,1036,128,1,3248,0,78700.0,7805.0,906.0,6818612435688131845,2,2,2,1,2,0,,,,2,1,2,1,1,1,,4,3,2,3,3,2
10606,2020-04-30 08:15:42,7.176.365.928.935,14,Laxed,7999,373,28,0,244,0,3087.0,234.0,5.0,6821415403957357826,3,3,2,2,4,1,,,,2,2,2,1,2,1,,6,4,5,4,3,3
10965,2020-04-22 17:36:26,751.844.676.331,15,,34700,5196,132,3,2573,10,2498.0,147.0,1433.0,6818591232764235013,2,2,3,2,1,0,,,,3,2,2,2,2,1,,4,5,1,4,4,3
10992,2020-04-28 22:48:50,7.529.874.580.556,13,,110100,1549,24,0,1164,2,1498.0,153.0,300.0,6820898245494017286,2,3,4,3,2,0,,,,3,3,3,2,2,1,,5,7,2,6,5,3
11003,2020-05-01 13:57:17,7.141.748.729.282,9,I'm Just a Kid,4700000,935900,116400,100,1300000,251,428500.0,78700.0,681.0,6821874517397359873,2,1,1,1,1,0,,,,2,3,1,2,2,0,,3,2,1,4,3,2
11016,2020-04-23 02:53:29,1.691.192.158.912,12,,102500,19500,58,1,280,0,280.0,64.0,1484.0,6818734772634881024,1,1,2,2,1,0,,,,2,2,2,1,1,0,,2,4,1,4,3,1
11048,2020-04-22 16:31:32,7.253.560.129.167,15,,2824,186,27,0,151,0,801.0,49.0,312.0,6818574495419256066,3,5,4,4,5,1,,,,2,3,2,3,2,1,,8,8,6,5,5,3
11072,2020-05-22 20:25:01,7.221.155.746.296,15,Check on It (Reggaeton Remix),84700,9395,754,6,10600,18,3167.5,275.5,1117.0,6829767230683712774,4,4,4,3,2,1,,,,2,3,3,2,2,1,,8,7,3,6,5,3
11076,2020-04-21 00:16:22,3.872.689.780.671,14,,16800,1394,4272,32,65800,135,9538.5,794.0,1028.0,6817952114627726598,3,4,4,3,3,1,,,,2,2,3,2,1,1,,7,7,4,5,5,2
11087,2020-05-09 12:49:26,7.432.948.854.514,10,,1100000,121900,16300,100,182900,192,89700.0,10149.5,1404.0,6824825718225095941,3,3,2,2,3,1,,,,3,3,3,3,3,1,,6,4,4,6,6,4
11108,2020-12-12 07:53:55,4.916.084.009.722,40,SOLO,8252,484,7305,98,27100,157,13950.0,1632.0,991.01,6905274741200882950,,,,,,,could not open,1,,,,,,,,damaged file,0,0,0,0,0,0
11127,2020-07-25 14:59:43,6.303.728.559.722,10,,1691,445,460,159,31600,0,12608.5,444.0,663.0,6853432766185458946,4,3,2,2,3,1,,,,2,2,2,1,1,1,,7,4,4,4,3,2
11134,2020-04-26 23:55:35,7.436.068.327.199,29,,997,122,62,6,1873,2,3215.0,187.0,1751.0,6820173271200189702,4,4,4,3,2,0,,,,3,2,2,2,2,1,,8,7,2,4,4,3
11160,2020-05-22 05:04:06,3.563.388.194.444,15,,2500000,37500,68,0,561,3,7188.0,677.0,550.0,6829529906251123973,2,2,3,2,1,0,,,,2,1,1,1,1,1,,4,5,1,2,2,2
11242,2020-06-16 08:28:25,1.083.577.166.898,14,Party Girl,10600,3496,105,0,148,0,971800.0,139500.0,795.0,6838859684674325504,2,2,2,1,1,0,,,,2,3,2,2,2,1,,4,3,1,5,4,3
11264,2020-08-14 07:52:17,505.684.420.949,14,Boy With Luv,347,455,19,0,56,3,7901.0,1809.5,1338.01,6860744365229362176,3,2,2,1,2,1,,,,3,4,3,4,3,0,,5,3,3,7,7,3
11274,2020-04-26 03:36:09,7.446.697.992.245,20,,7300000,98100,2086,5,14000,23,12900.0,1454.5,1718.0,6819859024931032326,3,4,4,3,3,0,,,,2,3,2,2,1,1,,7,7,3,5,4,2
11337,2020-06-01 16:38:50,7.487.288.300.116,13,Coño (feat. Jhorrmountain x Adje),120300,30700,7236,53,202800,98,5315.0,469.0,313.0,6833419789856197893,2,3,3,2,3,1,,,,1,2,1,1,1,1,,5,5,4,3,2,2
11426,2020-04-23 02:57:09,1.714.845.852.546,15,,46700000,1600000,17400,126,154800,98,15302.0,1021.5,1602.0,6818735717821304069,2,2,2,1,1,1,,,,2,2,2,1,1,1,,4,3,2,4,3,2
11432,2020-04-18 21:55:12,7.838.531.968.634,14,Genging,58900,14700,3576,56,32000,45,24350.0,2357.5,392.0,6817173572042247430,5,5,4,5,3,1,,,,3,3,2,2,2,1,,10,9,4,5,4,3
11524,2020-07-15 11:14:02,6.399.015.106.944,13,,6336,1688,591,12,21100,10,1424.0,100.0,225.0,6849663831350742278,1,1,2,1,1,0,,,,2,2,3,2,2,1,,2,3,1,5,5,3
11545,2020-06-26 01:01:37,6.879.636.094.444,15,,108900,16600,45,0,257,3,766.0,72.0,1477.0,6842455375443234049,3,3,3,2,2,1,,,,2,1,2,2,1,1,,6,5,3,3,4,2
11579,2020-05-06 18:10:22,7.455.865.626.968,10,,706300,94700,2007,32,56500,13,3213.0,219.0,202.0,6823795170245414150,3,3,4,3,2,0,,,,2,1,2,1,1,1,,6,7,2,3,3,2
11651,2020-05-19 13:13:32,7.533.520.125.579,15,Karabuu,52600,2908,267,0,2023,13,7469.5,783.0,693.0,6828542773721828609,5,5,4,4,5,1,,,,1,2,2,2,1,1,,10,8,6,4,4,2
11676,2020-05-07 03:12:00,4.135.624.845.718,15,,26100,7094,91,0,309,11,2636.5,274.0,427.0,6823934735799078146,1,1,2,1,1,0,,,,2,2,2,1,2,1,,2,3,1,4,3,3
11689,2020-04-20 19:01:04,385.861.640.544,15,Blow Your Mind (Mwahchallenge),111700000,2800000,2200000,32200,11500000,24400,435400.0,41200.0,0.0,6817870851577269510,5,5,5,5,3,0,,,,3,4,5,4,4,1,,10,10,3,9,9,5
11700,2020-04-22 11:48:05,7.242.589.103.356,10,,8849,508,104,0,975,0,588.5,113.5,616.0,6818501453569723650,2,1,1,1,1,1,,,,2,3,2,2,2,1,,3,2,2,5,4,3
11717,2020-06-17 00:08:02,6.960.426.032.755,24,,1800000,77600,2495,7,43300,24,6855.5,353.0,742.0,6839101818492980485,5,5,5,5,3,0,,,,3,2,3,4,3,1,,10,10,3,5,7,4
11745,2020-06-18 14:37:13,6.681.309.310.185,14,,9500000,1600000,76100,1429,733800,413,10077.5,1094.5,561.0,6839696891328990465,5,4,4,4,3,1,,,,2,2,2,2,1,1,,9,8,4,4,4,2
11756,2020-05-31 08:08:10,7.071.893.731.366,15,,112400,12000,507,0,2040,27,17600.0,2261.0,699.01,6832917100902780162,4,3,4,5,2,0,,,,1,1,3,3,2,1,,7,9,2,4,6,3
11767,2020-05-19 08:06:20,4.320.628.653.125,12,,148,428,13,2,121,1,608.0,136.0,1009.0,6828463611711655170,1,2,2,1,2,0,,,,2,3,2,2,2,1,,3,3,2,5,4,3
11794,2020-05-30 19:49:41,7.304.353.511.806,15,Kontrol,28000,10600,53,0,632,2,21600.0,2110.0,685.0,6832726802222435590,3,4,3,4,2,1,,,,1,2,2,3,2,1,,7,7,3,4,5,3
11805,2020-05-07 21:32:46,7.485.738.225.347,15,,54300,1365,62,0,315,0,6432.0,588.5,499.0,6824218404916890886,3,3,4,4,3,0,,,,3,4,3,2,3,1,,6,8,3,7,5,4
11818,2020-05-03 13:29:26,3.349.223.270.718,15,,90100000,6600000,92700,2737,537400,1072,10835.0,743.5,1118.0,6822609517268733190,2,2,3,2,1,1,,,,3,3,2,3,2,1,,4,5,2,5,5,3
11843,2020-05-02 18:58:15,1.605.280.507.407,10,,12900000,1300000,61700,446,561000,354,561000.0,61700.0,1488.0,6822323165264432128,2,1,2,1,1,0,,,,2,2,2,2,1,1,,3,3,1,4,4,2
11855,2020-09-02 09:38:13,6.198.396.566.319,12,,22400,3072,253,1,1227,14,1635450.0,196900.0,220.0,6867822296787193090,3,2,2,2,2,1,,,,2,3,2,2,3,1,,5,4,3,5,4,4
11859,2020-05-02 18:56:55,7.494.147.054.514,30,ROCKSTAR,1600000,8801,106,4,4350,8,3221.5,147.5,1603.0,6822322822845697286,2,1,2,1,1,1,more than 1,,,2,3,3,2,3,1,,3,3,2,6,5,4
11885,2020-04-29 00:30:14,4.343.852.152.315,19,Play Date,1800000,120000,28400,991,101500,251,42900.0,3583.0,1102.0,6820924371134057734,5,3,5,3,3,0,more than1,,,4,4,3,4,4,1,,8,8,3,7,7,5
11915,2020-05-04 13:23:36,7.323.209.572.106,10,,1600000,137500,8940,40,97500,158,4552.0,755.0,814.0,6822979089838755074,2,3,3,4,2,0,,,,1,2,3,3,2,1,,5,7,2,5,6,3
11959,2020-05-09 00:23:50,8.156.329.753.356,12,,1300000000,21500000,1500000,18700,8800000,13000,192100.0,24100.0,397.0,6824633573283237126,4,5,3,4,3,0,,,,2,2,4,2,2,1,,9,7,3,6,6,3
12006,2020-09-13 13:12:41,200.225.936.806,59,IDOL,1400000,42700,529200,13100,1600000,4241,5439.0,1187.0,1684.01,6871959519551966208,5,4,5,4,1,0,,,,4,4,4,3,3,1,,9,9,1,8,7,4
12007,2020-04-28 15:46:45,3.356.301.362.384,39,Mi Gente (Homecoming Live),21000000,2300000,841100,34700,7900000,5746,4500000.0,474100.0,1139.0,6820789475392720134,3,5,3,3,1,1,,,,2,2,3,3,3,1,,8,6,2,5,6,4
12009,2020-04-29 20:14:59,8.049.842.957.407,11,,16500000,213200,10100,13,42100,51,12800.0,1273.5,1026.0,6821229679014415621,2,2,2,1,1,1,,,,3,2,3,2,1,1,,4,3,2,5,5,2
12081,2020-06-14 07:41:34,7.795.045.825.347,27,Savage Remix,562700000,14400000,173400,1173,2600000,1389,265000.0,28600.0,1309.0,6838105444460793090,3,4,5,4,2,0,,,,3,2,4,3,2,1,,7,9,2,6,7,3
12086,2020-05-07 18:48:01,7.363.743.666.782,15,,295100,18300,48,0,524,0,2306.0,238.0,1732.0,6824175954252860678,1,1,1,1,1,1,more than 1,,,2,2,2,1,1,1,,2,2,2,4,3,2
12097,2020-05-04 08:05:58,4.300.126.886.458,14,,5149,1188,22,0,128,0,676.5,43.5,414.0,6822897239984196870,2,1,2,1,1,0,,,,2,2,2,2,1,1,,3,3,1,4,4,2
12110,2020-05-30 00:07:15,7.451.306.430.093,21,살짝 설렜어 (Nonstop),38000,2322,248,116,2253,18,23150.0,1962.0,1211.0,6832422095033568518,3,3,3,2,2,0,,,,2,2,2,1,2,1,,6,5,2,4,3,3
12119,2020-05-02 09:47:13,4.229.572.927.894,14,,2368,112,7,0,37,0,304.0,46.0,660.0,6822181161507245314,2,3,2,1,2,1,,,,2,2,3,2,2,1,,5,3,3,5,5,3
12155,2020-05-14 23:32:49,8.096.294.677.778,12,,244900000,8900000,632700,907,2600000,2583,798600.0,128800.0,580.0,6826846937635966213,5,1,1,1,3,0,,,,3,2,2,1,1,0,,6,2,3,4,3,1
12260,2020-05-11 22:21:54,1.511.744.999.306,14,,115500000,5800000,194400,275,1300000,934,3421.0,325.5,1415.0,6825715405865126912,2,4,3,3,2,0,more than 1,,,2,3,4,3,3,1,,6,6,2,7,7,4
12275,2020-06-21 02:29:08,1.044.094.647.454,15,Hood Baby,189400,22500,39900,1030,140400,257,2876.0,102.0,159.0,6840622522954714112,2,1,3,2,1,0,,,,2,2,2,1,1,1,,3,5,1,4,3,2
12289,2020-05-07 00:01:00,7.098.009.804.167,9,,4539,840,3,0,42,0,56.0,11.0,892.0,6823885473115606273,3,4,2,1,4,0,,,,3,2,1,1,1,1,,7,3,4,3,2,2
12571,2020-06-18 05:58:22,7.302.845.350.463,12,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],41600,3303,201,3,1376,0,4658.0,325.0,144.0,6839563172890873094,1,2,2,1,1,0,more than 1,,,2,1,2,1,1,1,,3,3,1,3,3,2
12587,2020-06-11 11:46:58,6.743.238.493.634,15,Relación,369200,40300,129,2,2619,6,4298.0,261.0,1308.0,6837055419068861697,2,3,2,2,1,0,more than 1,,,2,2,2,2,2,1,,5,4,1,4,4,3
12624,2020-05-31 02:55:01,7.082.734.019.213,8,,15100000,517400,4125,4,22300,54,2321.0,137.0,1203.0,6832836397913607426,2,4,2,1,3,0,more than 1,,,2,2,1,1,3,1,,6,3,3,3,2,4
12649,2020-05-09 19:58:22,3.244.554.024.421,11,,72400000,2200000,478200,12800,4800000,2959,173900.0,9382.0,1363.0,6824936247656484102,1,1,2,1,1,0,,,,2,2,2,1,2,1,,2,3,1,4,3,3
12674,2020-05-22 23:38:19,1.401.149.287.384,15,Ice Me Out,572200000,26400000,2000000,46100,17900000,35100,9736.0,484.0,520.0,6829817042795777024,3,2,3,2,1,0,,,,2,2,2,1,1,1,,5,5,1,4,3,2
12691,2020-06-28 06:38:17,3.750.818.155.903,13,Cotton Eyed Joe,3100000,118700,184,4,1885,6,1900.0,210.0,174.0,6843284313933466886,4,5,4,4,4,0,,,,3,2,3,2,3,1,,9,8,4,5,5,4
12718,2020-05-27 00:36:23,3.036.466.262.269,10,Dream Girl,138000000,6400000,2800000,25200,19200000,15900,1951.0,235.0,730.0,6831316335927217414,1,1,2,1,1,0,,,,1,1,1,1,2,1,,2,3,1,2,2,3
12763,2020-05-10 20:33:36,7.299.631.226.273,21,Cars That Go Boom,7300000,98100,2574,6,17100,13,483600.0,79500.0,47.0,6825316416154045702,3,3,4,3,1,0,,,,2,3,2,2,2,1,,6,7,1,5,4,3
12803,2020-06-19 14:39:54,7.014.198.448.148,9,,9500000,723200,2266,10,119000,17,79200.0,2858.0,465.0,6840068666739150081,4,3,2,1,2,0,more than 1,,,2,1,1,1,1,0,,7,3,2,2,2,1
12823,2020-06-03 00:29:24,4.004.427.554.861,10,Crystal Dolphin (KyleYouMadeThat Remix),18000000,1300000,47900,212,198600,281,35300.0,3362.0,1250.0,6833912105758903553,2,2,2,3,3,0,,,,2,2,2,1,1,1,,4,5,3,4,3,2
12827,2020-05-12 09:16:20,4.220.768.295.602,13,,18000000,1300000,28700,218,133800,308,133800.0,28700.0,467.0,6825884054009728258,5,4,5,5,4,0,,,,3,2,4,3,3,1,,9,10,4,6,7,4
12829,2020-05-15 23:06:54,7.634.985.282.407,8,Bulletproof,179100,19300,221,0,804,8,5837.5,840.0,1742.0,6827211348426935558,1,4,1,1,3,0,,,,2,2,1,1,2,0,,5,2,3,3,2,2
12833,2020-05-25 17:32:08,1.379.157.716.667,15,,212000000,7300000,278700,2094,2000000,4676,8208.0,439.0,149.0,6830835929196858368,2,2,3,1,2,0,,,,2,3,3,2,2,1,,4,4,2,6,5,3
12873,2020-05-21 11:26:56,6.952.394.694.907,15,,3251,759,40,2,467,0,289.0,30.0,454.0,6829257475783494913,2,2,2,1,3,1,,,,2,1,1,1,1,1,,4,3,4,2,2,2
12890,2020-06-24 21:35:15,2.783.868.440.394,8,GOOBA,25400000,2500000,84600,2177,1300000,649,12600.0,1634.5,198.0,6842031132196752646,3,3,2,1,2,0,,,,2,1,1,1,1,1,,6,3,2,2,2,2
12990,2020-09-18 00:28:46,6.836.194.183.102,15,Savage Love (Laxed - Siren Beat),221000000,15600000,110300,186,930900,581,8486.0,883.0,487.0,6873618078861757697,2,2,3,2,2,0,,,,2,1,2,1,1,1,,4,5,2,3,3,2
13041,2020-07-15 22:28:34,6.677.869.384.259,15,The Boat Beat,312400,47500,1762,71,21500,17,1397.5,127.5,189.0,6849837661545368837,1,1,1,1,1,0,,,,2,2,2,2,2,1,,2,2,1,4,4,3
13049,2020-05-30 02:32:24,72.256.495,15,4K,1500000,219200,1577,3,14100,15,10500.0,1015.0,1131.0,6832459483537493249,1,2,2,1,1,1,,,,2,3,2,3,2,1,,3,3,2,5,5,3
13083,2020-06-08 09:10:11,3.410.677.399.421,15,,697900,121900,876,15,1245,28,13700.0,1089.0,1242.0,6835901767033703682,2,2,3,2,2,1,,,,3,2,3,2,2,1,,4,5,3,5,5,3
13132,2020-07-03 13:54:51,3.159.076.663.426,15,Geek'd (feat. Lil Baby),139800,12100,38200,418,262000,163,339550.0,54050.0,82.0,6845252251741687046,4,4,4,5,3,0,,,,2,3,3,3,3,1,,8,9,3,6,6,4
13149,2021-03-19 10:38:42,972.521.271.759,16,Burning Up (Fire),1000000,147200,1592,16,11900,29,11750.0,1263.5,315.01,6941312739268676869,4,3,3,3,4,1,,,,2,3,4,3,3,1,,7,6,5,7,7,4
13206,2020-06-13 09:17:07,712.179.740.081,14,,2919,122,24,0,78,0,182600.0,18600.0,654.0,6837758975182720261,2,1,3,1,2,0,,,,2,1,2,1,1,1,,3,4,2,3,3,2
13224,2020-05-26 18:59:15,4.285.586.107.407,7,Spaz,30500000,1100000,25400,628,367500,73,69700.0,3079.0,413.0,6831229470410640646,3,3,3,4,2,0,,,,3,3,2,3,3,1,,6,7,2,5,5,4
13265,2020-05-23 04:31:37,3.553.613.773.148,10,,1500000,159500,1048,1,11600,8,363000.0,42800.0,862.0,6829892622715243781,2,1,2,1,1,0,,,,3,3,2,2,3,1,,3,3,1,5,4,4
13355,2020-10-12 01:53:08,5.527.106.098.958,15,"Boom, Boom, Boom, Boom!!",18500000,555500,30200,433,152200,123,101450.0,6414.0,273.0,6882545873927064833,3,5,4,3,3,1,,,,2,3,2,3,2,1,,8,7,4,5,5,3
13369,2020-06-19 23:07:25,7.738.254.821.528,15,Do It,444000000,13100000,106500,198,866000,445,508600.0,53500.0,200.0,6840199458018381062,2,2,3,2,2,1,,,,2,3,3,3,3,1,,4,5,3,6,6,4
13417,2020-06-29 13:17:32,3.177.313.184.144,14,Kolors,12000,4172,249,0,1019,14,4993.0,457.0,866.0,6843758296403299589,2,1,3,2,1,0,,,,2,1,2,2,1,1,,3,5,1,3,4,2
13429,2020-05-31 19:59:01,7.927.213.402.778,15,Go Go Go Who's Next?,667000000,11200000,475000,3174,1800000,4339,335500.0,16400.0,6.0,6833100299037641990,5,5,1,1,4,1,,,,2,1,1,1,3,1,,10,2,5,2,2,4
13501,2020-08-24 18:22:22,2.615.186.547.569,15,,5058,1183,39,0,1086,0,1086.0,83.0,1416.0,6864617608763755781,1,1,3,1,1,0,,,,1,2,3,1,2,1,,2,4,1,5,4,3
13518,2020-06-25 00:26:05,7.683.624.349.653,13,,1200000000,23200000,2400000,24900,16000000,26600,701250.0,87250.0,633.0,6842075151811480837,2,2,2,2,1,0,,,,2,3,2,4,3,1,,4,4,1,5,6,4
13539,2020-05-21 21:02:18,7.155.555.609.838,15,Lento,401100,17300,176,3,1691,18,1815.0,153.0,1257.0,6829405744740322565,1,1,1,1,1,1,,,,2,2,2,2,1,1,,2,2,2,4,4,2
13562,2020-05-31 23:50:20,7.245.675.469.676,13,,2164,280,30,1,192,3,689250.0,103488.5,1389.0,6833159899262799109,2,3,3,2,2,0,,,,2,2,2,2,1,1,,5,5,2,4,4,2
13581,2020-07-12 23:41:16,6.826.150.419.676,15,Rain On Me,36600,2576,64,3,753,2,2625.0,181.0,1831.0,6848743138778025221,3,3,4,4,2,0,,,,2,3,2,2,1,1,,6,8,2,5,4,2
